;Ingredient;Quantity
0;Barbecued Chicken;105
1;Red Peppers;691
2;Green Peppers;215
3;Tomatoes;1152
4;Red Onions;842
5;Barbecue Sauce;105
6;Chicken;376
7;Artichoke;102
8;Spinach;398
9;Garlic;1216
10;Jalapeno Peppers;259
11;Fontina Cheese;139
12;Gouda Cheese;102
13;Mushrooms;366
14;Asiago Cheese;136
15;Alfredo Sauce;39
16;Pesto Sauce;110
17;Corn;156
18;Cilantro;156
19;Chipotle Sauce;156
20;Pineapple;200
21;Thai Sweet Chilli Sauce;109
22;Bacon;124
23;Pepperoni;366
24;Italian Sausage;36
25;Chorizo Sausage;36
26;Sliced Ham;93
27;Mozzarella Cheese;466
28;Capocollo;302
29;Goat Cheese;152
30;Oregano;62
31;Anchovies;60
32;Green Olives;244
33;Kalamata Olives;147
34;Feta Cheese;197
35;Beef Chuck Roast;77
36;Brie Carre Cheese;10
37;Prosciutto;10
38;Caramelized Onions;10
39;Pears;10
40;Thyme;10
41;Nduja Salami;40
42;Pancetta;40
43;Friggitello Peppers;40
44;Calabrese Salami;82
45;Genoa Salami;62
46;Prosciutto di San Daniele;57
47;Arugula;57
48;Coarse Sicilian Salami;70
49;Luganega Sausage;70
50;Onions;70
51;Soppressata Salami;37
52;Artichokes;228
53;Peperoncini verdi;89
54;Provolone Cheese;80
55;Smoked Gouda Cheese;80
56;Romano Cheese;80
57;Blue Cheese;80
58;Ricotta Cheese;98
59;Gorgonzola Piccante Cheese;98
60;Parmigiano Reggiano Cheese;98
61;Eggplant;34
62;Zucchini;94
63;Sun-dried Tomatoes;70
64;Plum Tomatoes;37
